0.017453,1000,0.0012549
0.017453,2000,0.00088736
0.017453,3000,0.00072452
0.017453,4000,0.00062746
0.017453,5000,0.00056121
0.017453,6000,0.00051232
0.017453,7000,0.00047431
0.017453,8000,0.00044368
0.017453,9000,0.0004183
0.017453,10000,0.00039684
0.034907,1000,0.0025089
0.034907,2000,0.001774
0.034907,3000,0.0014485
0.034907,4000,0.0012544
0.034907,5000,0.001122
0.034907,6000,0.0010242
0.034907,7000,0.00094826
0.034907,8000,0.00088702
0.034907,9000,0.00083629
0.034907,10000,0.00079337
0.05236,1000,0.0037609
0.05236,2000,0.0026594
0.05236,3000,0.0021714
0.05236,4000,0.0018805
0.05236,5000,0.0016819
0.05236,6000,0.0015354
0.05236,7000,0.0014215
0.05236,8000,0.0013297
0.05236,9000,0.0012536
0.05236,10000,0.0011893
0.069813,1000,0.0050101
0.069813,2000,0.0035427
0.069813,3000,0.0028926
0.069813,4000,0.002505
0.069813,5000,0.0022406
0.069813,6000,0.0020454
0.069813,7000,0.0018936
0.069813,8000,0.0017713
0.069813,9000,0.00167
0.069813,10000,0.0015843
0.087266,1000,0.0062555
0.087266,2000,0.0044233
0.087266,3000,0.0036116
0.087266,4000,0.0031277
0.087266,5000,0.0027975
0.087266,6000,0.0025538
0.087266,7000,0.0023643
0.087266,8000,0.0022116
0.087266,9000,0.0020852
0.087266,10000,0.0019781
0.10472,1000,0.007496
0.10472,2000,0.0053005
0.10472,3000,0.0043278
0.10472,4000,0.003748
0.10472,5000,0.0033523
0.10472,6000,0.0030602
0.10472,7000,0.0028332
0.10472,8000,0.0026503
0.10472,9000,0.0024987
0.10472,10000,0.0023705
0.12217,1000,0.0087309
0.12217,2000,0.0061737
0.12217,3000,0.0050408
0.12217,4000,0.0043655
0.12217,5000,0.0039046
0.12217,6000,0.0035644
0.12217,7000,0.0033
0.12217,8000,0.0030868
0.12217,9000,0.0029103
0.12217,10000,0.002761
0.13963,1000,0.0099591
0.13963,2000,0.0070422
0.13963,3000,0.0057499
0.13963,4000,0.0049796
0.13963,5000,0.0044539
0.13963,6000,0.0040658
0.13963,7000,0.0037642
0.13963,8000,0.0035211
0.13963,9000,0.0033197
0.13963,10000,0.0031494
0.15708,1000,0.01118
0.15708,2000,0.0079053
0.15708,3000,0.0064546
0.15708,4000,0.0055899
0.15708,5000,0.0049997
0.15708,6000,0.0045641
0.15708,7000,0.0042256
0.15708,8000,0.0039526
0.15708,9000,0.0037266
0.15708,10000,0.0035354
0.17453,1000,0.012392
0.17453,2000,0.0087624
0.17453,3000,0.0071544
0.17453,4000,0.0061959
0.17453,5000,0.0055418
0.17453,6000,0.005059
0.17453,7000,0.0046837
0.17453,8000,0.0043812
0.17453,9000,0.0041306
0.17453,10000,0.0039186
